n,median,mean,positives
1,0.6075381817644688,0.8162925502165143,54.406130268199234
2,0.13512792404848023,0.26215742659560665,51.34099616858238
3,0.11137568835329295,0.7543571301325886,50.76628352490421
4,0.7044067689535252,0.7425841854450249,56.896551724137936
5,0.38912394529484284,0.5751797140745545,53.63984674329502
6,0.3457413697650675,0.5721640891750692,53.83141762452107
7,0.3670696201549878,0.5204899286081741,53.83141762452107
8,0.40952666085967804,0.47193064517119876,54.02298850574713
9,0.6302115391824699,0.5262930473531597,54.98084291187739
10,0.27290845103471784,0.4816118774624123,53.44827586206896
11,0.11368931852773369,0.37422026463195096,51.14942528735632
12,0.5321859056254961,0.5451701026604485,54.98084291187739
13,0.11917079890364679,0.46076286895153074,51.14942528735632
14,0.48951237312806795,0.43306075764295515,54.78927203065134
15,0.5579319650733154,0.3225315038868684,57.279693486590034
16,0.5505894409526935,0.5941800458798383,56.13026819923371
17,0.40105028638568074,0.48380888805999916,54.59770114942529
18,0.12200577746578055,0.34533404875962653,50.76628352490421
19,0.40422439818411315,0.35533525625528545,55.172413793103445
20,0.28474195350357334,0.15577719542190666,52.10727969348659
21,0.4813699158100146,0.4939704739987388,54.98084291187739
22,0.7281028829059044,0.7417204296990411,57.8544061302682
23,0.30515117924933155,0.35295089393007223,54.59770114942529
24,0.553495710058118,0.5131990684914183,54.59770114942529
25,0.5160286350458164,0.42425611392457385,55.55555555555556
26,0.2926604424871444,0.23551135341944804,53.44827586206896
27,0.4998703263225196,0.6953823251709003,56.70498084291188
28,0.41022562028339865,0.550462352244723,55.55555555555556
29,0.4736539456765525,0.6098491754174478,54.406130268199234
30,0.34303131074033455,0.4174546451095067,54.214559386973185
31,0.5354004404468918,0.5030721949176126,54.214559386973185
32,0.24598909737343602,0.39894316718654027,53.44827586206896
33,0.5672330031441803,0.34741007975338023,56.513409961685824
34,0.5456315522152975,0.3944394545672707,55.74712643678161
35,0.6351857528613409,0.7053065545452057,57.08812260536399
36,0.33404573832793094,0.4116589234191682,53.63984674329502
37,0.24012518055610999,0.23937603544990474,53.06513409961686
38,0.4761875239570361,0.7164973829323904,55.938697318007655
39,0.12454401890551658,0.23092024465445826,53.44827586206896
40,0.4026936944461514,0.15924868510648044,55.3639846743295
41,0.4746518874144191,0.14696579133126284,54.59770114942529
42,0.5434923087399943,0.5368545598779544,54.214559386973185
43,0.4409608146975119,0.6622883413827986,55.3639846743295
44,0.4924571139673771,0.5521044658862564,55.55555555555556
45,0.284767595659031,0.3116949192425514,54.02298850574713
46,0.2621562163761674,0.3770490347435867,52.87356321839081
47,0.3476272706158269,0.46868254168550444,55.172413793103445
48,0.6901519069127419,0.6431825703669766,58.620689655172406
49,0.5330147982949945,0.47438059806857535,56.896551724137936
50,0.43098007355702006,0.3028582735267625,54.59770114942529
51,0.42021877098877125,0.5325182316528444,56.70498084291188
52,0.5361967579957394,0.10522888291430717,55.3639846743295
53,0.3821346680834409,0.3449246522873331,53.83141762452107
54,0.3345247337326057,0.3556759005793524,55.74712643678161
55,0.39742337475267775,0.12285753079555158,55.3639846743295
56,0.3907500287525212,0.647648961470837,55.938697318007655
57,0.5030532647632053,0.26694330699086166,56.513409961685824
58,0.4444434368304835,0.5119161959316235,55.74712643678161
59,0.36423357402552864,0.3614733981198709,55.172413793103445
60,0.7016055212952943,0.4311992932840407,55.74712643678161
61,0.231551166166513,0.18254017609594222,52.87356321839081
62,0.4782808064397514,0.3619219463233308,55.55555555555556
63,0.4030369720510318,0.3241155358416932,54.406130268199234
64,0.5931112900519618,0.42519840192218783,55.55555555555556
65,0.22479057274850356,0.14967220712529386,53.25670498084292
66,0.5575638513331043,0.7218472633977929,56.70498084291188
67,0.19659683915526063,0.3691706020227427,53.83141762452107
68,0.5450619977452145,0.19739498974679134,54.78927203065134
69,0.6707587929632693,0.6608185863414152,58.23754789272031
70,0.4960046456293431,0.49532675586688996,57.8544061302682
71,0.4674546347382972,0.7708224643587183,57.8544061302682
72,0.39623940047248296,0.4226353989713153,55.74712643678161
73,0.10350531097118988,0.1925988563162035,51.53256704980843
74,0.5353368660742451,0.5255442895536142,57.8544061302682
75,0.2648275242190527,0.3060474619603399,54.214559386973185
76,0.49521825173022016,0.41567916974225,55.172413793103445
77,0.2821978877543059,0.346676378074861,53.44827586206896
78,0.08667778534372064,0.07648616969286123,51.91570881226054
79,0.4500934381922716,0.6123611018009318,55.938697318007655
80,0.5124707020684935,0.4602599161861815,54.78927203065134
81,0.1039946547021266,0.25364458695787845,50.95785440613027
82,0.08827448244744117,0.348512471149927,51.14942528735632
83,0.6243838573746752,0.44231447333214763,59.578544061302686
84,0.23143563433591496,0.294577255391754,54.02298850574713
85,0.1674435950469494,0.48531611168381483,52.490421455938694
86,0.4219183889800685,0.2915094540756503,54.59770114942529
87,0.42633221860199877,0.38813930233438504,54.02298850574713
88,0.2251746578748616,0.288533508594689,53.63984674329502
89,0.38136285659194785,0.414777535664149,54.214559386973185
90,0.38052615266373524,0.18234913288502416,56.13026819923371
91,0.2670929965056021,0.22334417830181322,52.87356321839081
92,0.2711100048949303,0.149617256583164,53.63984674329502
93,0.542686711720731,0.6569970096601647,57.47126436781609
94,0.13944337715824362,0.18881147076841148,51.724137931034484
95,0.3506149775755056,0.23721401315953836,54.59770114942529
96,0.4902644869091175,0.47951960756967804,55.55555555555556
97,0.3056968419624726,0.08263742893268536,53.25670498084292
98,0.48672625343165343,0.3664817397178859,56.513409961685824
99,0.453122585450191,0.4056865923039624,56.13026819923371
