border,n,median,mean,win_rate,sortino
30,70,0.35993543761329017,0.7725047375600718,56.0546875,0.3811122477486896
30,75,0.4963463983724492,0.7250132539799262,55.46875,0.3625394233933733
30,80,0.5702654824010223,0.7059150111733418,55.859375,0.35729075763493245
30,85,0.5558789004275977,0.6859987584465678,56.640625,0.35138902599838934
30,90,0.512269725792891,0.6273274458079956,57.421875,0.3240937020405564
30,95,0.4581752206404388,0.5913942988083716,56.4453125,0.3037912069373277
35,70,0.37761049573721284,0.6941534634975017,55.859375,0.3491937942125469
35,75,0.553059710382009,0.6802418374397903,56.0546875,0.3462577541456024
35,80,0.5774275450626698,0.6626878316323785,56.25,0.34187280824923877
35,85,0.5275789249636453,0.6050974068401868,55.859375,0.31650925148087644
35,90,0.5173800976784881,0.569304068246192,55.6640625,0.29597569881288754
35,95,0.4911289260372653,0.553131079244588,56.640625,0.28909133755143307
40,70,0.6306718295938207,0.6005784866025783,56.4453125,0.28852359293193575
40,75,0.5584990069421147,0.5839074817040357,57.8125,0.28456012325763713
40,80,0.5523285415433898,0.5270576206475692,57.2265625,0.2605985040237272
40,85,0.49872417781086087,0.4907657343754777,56.8359375,0.24083604640612066
40,90,0.49438624023486755,0.47841931129008913,58.0078125,0.23601357943165915
40,95,0.6498893318455656,0.4789176901451768,58.0078125,0.23589081723907804
45,70,0.5549212732532283,0.5335324787992859,58.203125,0.27035750405079473
45,75,0.5776633779852047,0.4809956355783033,57.6171875,0.24683974168480216
45,80,0.42252699463274923,0.445486021289474,58.203125,0.22600305237310261
45,85,0.48143936306467294,0.4388702689429692,58.3984375,0.22308379177455637
45,90,0.5689269536832131,0.4456537099821628,57.8125,0.22613831073715882
45,95,0.6393075133273141,0.4692124088081354,57.8125,0.2406925756445147
50,70,0.33656662022776285,0.35329820878994755,56.0546875,0.17772731005218925
50,75,0.2425268426774041,0.31592233240355544,54.4921875,0.1570508223778001
50,80,0.2528489802177347,0.31373241709412003,53.7109375,0.15636450210188424
50,85,0.37681111886012086,0.32721034138583804,53.90625,0.16294788670868632
50,90,0.41464819961795074,0.3556483967220143,54.1015625,0.17950967550504934
50,95,0.4369567520663864,0.3499045728950366,55.859375,0.17579050144879238
55,70,0.30519659605121596,0.3762691672373422,53.515625,0.1924538315298416
55,75,0.31255324380063954,0.3702705247625925,53.3203125,0.1900710131024339
55,80,0.37121002156205174,0.3834585190813934,54.6875,0.19626000622537104
55,85,0.4597004327435483,0.4104808991647716,54.6875,0.2125639266671767
55,90,0.39578290420859696,0.40249597531634984,55.46875,0.2070419070219025
55,95,0.33940670892513847,0.33434860278498185,54.4921875,0.1682305497954449
60,70,0.3315057934339727,0.3390380598452828,54.1015625,0.1709216783674436
60,75,0.31918824776526744,0.36007322929520513,54.296875,0.18110013582921736
60,80,0.3355613884463593,0.3918012802115731,55.46875,0.19957713382027742
60,85,0.32412737557307447,0.38731020869253674,55.6640625,0.1957562838592394
60,90,0.2944834100599314,0.3178157988411193,55.46875,0.15679818849517735
60,95,0.3227857844535942,0.28248963076606837,55.46875,0.1344381891817399
65,70,0.3074086817773547,0.39008512145298985,54.4921875,0.193058871841423
65,75,0.30693891333521406,0.4198199116825714,54.1015625,0.2106534773067489
65,80,0.3299890084625723,0.41384439034862175,54.4921875,0.20607062484949068
65,85,0.28480110132175773,0.3380884172788581,54.296875,0.16375136023408213
65,90,0.31463515542886067,0.29994612042690405,55.46875,0.1395803072904558
65,95,0.4172747840500146,0.3006932910160035,54.6875,0.14087074245986858
70,75,0.3129123382126675,0.3444581558268607,54.4921875,0.16223844118913736
70,80,0.30537576799244404,0.2642393561738538,54.1015625,0.12122081392960414
70,85,0.35323113051530797,0.22481233943974333,54.1015625,0.09933257542627602
70,90,0.4451761714703295,0.22986346884305786,55.078125,0.10279490376446095
70,95,0.3740576822227504,0.18525074371279496,54.296875,0.08389689527468233
