border,n,median,mean,win_rate,sortino
0,-10.0,-60.27544706125766,-56.73935255266405,1.9361084220716358,-0.9062413752300407
0,-9.9,-59.8695483330097,-56.35741153873377,2.032913843175218,-0.9053766562218274
0,-9.8,-59.45425131912887,-55.971615295971766,2.032913843175218,-0.9044953286214023
0,-9.7,-59.033966170611585,-55.581928465210545,2.032913843175218,-0.9035969778427121
0,-9.6,-58.593835198284964,-55.18831542525048,2.032913843175218,-0.9026811630509293
0,-9.5,-58.14719914381995,-54.79074029121356,2.032913843175218,-0.9017474248959426
0,-9.4,-57.69726719879395,-54.389166912889195,2.032913843175218,-0.9007952844420276
0,-9.3,-57.244023384498966,-53.983558873071956,2.032913843175218,-0.8998242420215327
0,-9.2,-56.787451675303615,-53.57387948589132,2.032913843175218,-0.8988337760064112
0,-9.1,-56.327535998583514,-53.160091795133404,2.032913843175218,-0.8978233414908476
0,-9.0,-55.845242234566285,-52.742158572554494,2.032913843175218,-0.896792368877589
0,-8.9,-55.40385009388563,-52.32004231618662,2.032913843175218,-0.8957402623598874
0,-8.8,-54.95873577242412,-51.89370524863498,2.032913843175218,-0.8946663982901727
0,-8.7,-54.50987469835433,-51.46310931536717,2.032913843175218,-0.8935701234257079
0,-8.6,-54.0183203073809,-51.02821618299435,2.032913843175218,-0.8924507530405128
0,-8.5,-53.50975366408929,-50.58898723754408,2.032913843175218,-0.8913075688917712
0,-8.4,-53.080302774043844,-50.145383582725145,2.032913843175218,-0.8901398170277407
0,-8.3,-52.65159055953552,-49.69736603818402,2.032913843175218,-0.8889467054228533
0,-8.2,-52.13492829727615,-49.244895137753076,2.032913843175218,-0.8877274014242079
0,-8.1,-51.646743399205185,-48.78793112769062,2.1297192642787994,-0.8864810561568843
0,-8.0,-51.14920264188789,-48.32643396491257,2.1297192642787994,-0.8852067964134919
0,-7.9,-50.638262504989775,-47.860363315215785,2.1297192642787994,-0.8839036574974586
0,-7.8,-50.12653394735291,-47.38967855149316,2.1297192642787994,-0.8825706214189446
0,-7.7,-49.60880646114435,-46.91433875194025,2.1297192642787994,-0.881206613839604
0,-7.6,-49.09277548466135,-46.434302698253575,2.1297192642787994,-0.8798104999949726
0,-7.5,-48.563155440251826,-45.94952887382052,2.1297192642787994,-0.8783810802627154
0,-7.4,-48.09074727630702,-45.459975461900754,2.1297192642787994,-0.8769170853408883
0,-7.3,-47.554826951901305,-44.96560034379928,2.1297192642787994,-0.8754171709962032
0,-7.2,-47.04933955048166,-44.46636109703096,2.1297192642787994,-0.8738799123375719
0,-7.1,-46.53085605505607,-43.96221499347649,2.2265246853823815,-0.8723038501828939
0,-7.0,-46.028386253622436,-43.45311899752999,2.2265246853823815,-0.8706874645385851
0,-6.9,-45.491065704974474,-42.939029764237944,2.2265246853823815,-0.8690290608892879
0,-6.8,-44.919538279343854,-42.4199036374296,2.2265246853823815,-0.8673268354846919
0,-6.7,-44.2976934006638,-41.89569664783885,2.2265246853823815,-0.8655788672029021
0,-6.6,-43.72224566955517,-41.36636451121731,2.2265246853823815,-0.8637831077766575
0,-6.5,-43.20124796271869,-40.831862626439104,2.2265246853823815,-0.8619373710436236
0,-6.4,-42.64907293787148,-40.29214607359655,2.2265246853823815,-0.8600393211069135
0,-6.3,-42.10710760457375,-39.74716961208756,2.3233301064859635,-0.8580864753274906
0,-6.2,-41.56738018226039,-39.196887678694154,2.3233301064859635,-0.8560762971159661
0,-6.1,-41.02734005822845,-38.641254385652196,2.516940948693127,-0.8540060662282126
0,-6.0,-40.48993426426899,-38.08022351871255,2.516940948693127,-0.8518730225408274
0,-5.9,-39.91393219257486,-37.51374853519331,2.516940948693127,-0.8496739399244653
0,-5.8,-39.356510382726896,-36.94178256202328,2.516940948693127,-0.8474053311829348
