n,median,mean,positives
1,-0.023709561222049223,0.24731319216783285,49.808429118773944
2,0.05231757120290515,0.2775010759609619,50.76628352490421
3,0.5489308352040059,0.76352601122155,54.406130268199234
4,0.40972019178211416,0.40231082111445804,54.406130268199234
5,0.00869722288024685,0.1697897492273942,50.191570881226056
6,0.08876780007785504,0.40155200603466007,51.34099616858238
7,0.33214926563038094,0.5522433413546057,55.3639846743295
8,0.3936183521740325,0.33579704457572657,52.87356321839081
9,0.25592043230101014,0.3096728390962125,52.490421455938694
10,0.2261725137417009,0.32000882568243605,52.490421455938694
11,0.3055430250116101,0.45114229686467544,54.98084291187739
12,0.24582843075964259,0.6082616201621055,54.406130268199234
13,0.17666715055890345,0.040812330034693006,51.34099616858238
14,0.26410745159849064,0.06050252521619275,51.724137931034484
15,0.1369376427407784,0.25218835406822215,52.29885057471264
16,0.3722836963919901,0.3517091832822442,53.25670498084292
17,0.2816384098626209,0.4606179767755074,52.87356321839081
18,0.3730642477780318,0.43889398603932833,53.06513409961686
19,0.15515680297855994,0.42723523208242675,51.724137931034484
20,-0.3915862630413701,-0.2285674941532271,46.74329501915709
21,0.242640876726257,0.35471751370525295,52.490421455938694
22,0.4971209607116369,0.41043923489293765,55.172413793103445
23,0.39027138739566014,0.5182048869177457,54.02298850574713
24,0.3837326669669169,0.3898853636171365,54.02298850574713
25,-0.0015631538939412052,-0.14775198396203704,50.0
26,0.37948066756792576,0.1785302389801123,55.938697318007655
27,0.27000228165723755,0.18518418993779878,54.98084291187739
28,0.08850141815016588,0.042113902198096013,51.14942528735632
29,0.13730256285520787,0.34787305221152287,52.490421455938694
30,-0.09881939608563622,0.038587254491642124,49.042145593869726
31,0.2310417765822071,0.2249440889258234,51.724137931034484
32,0.37471997508391464,0.3410503992929724,54.59770114942529
33,0.15471684262709862,0.08082708307017493,52.10727969348659
34,0.2900481896364825,0.2825984147909406,53.06513409961686
35,0.11488429575402306,0.07902560858743414,52.29885057471264
36,0.4699049151195074,0.7723315890362605,58.429118773946364
37,0.1459471819514463,0.027850503185733375,52.29885057471264
38,0.15761850544368444,0.40748252654699196,52.490421455938694
39,0.41321506023807053,0.3759312918429896,54.406130268199234
40,0.4329202599846993,0.14355413976070805,54.78927203065134
41,0.2008399215575191,0.166544181099826,50.76628352490421
42,0.30405903962598246,-0.20889881442368569,53.44827586206896
43,0.027544261651775228,-0.05326110549838804,50.191570881226056
44,0.08077921884177303,0.2687450652092698,51.53256704980843
45,0.31416937657043126,0.3473835716053517,55.55555555555556
46,0.33462746995213277,0.19210442500257402,54.59770114942529
47,0.26516819098333083,-0.023965876262489888,54.214559386973185
48,0.3736446265270683,0.12730104223998753,53.63984674329502
49,0.2654317839038456,0.1011442992054956,52.29885057471264
50,0.33463656932713715,0.36744937670804323,53.44827586206896
51,0.2851473484441446,0.33918845778813184,53.06513409961686
52,0.20118407056442422,0.2698429907720359,52.29885057471264
53,0.5116496516535295,0.4970788806314155,56.32183908045977
54,0.4997397614932059,0.23077452179913494,55.3639846743295
55,0.3400592676857106,0.11009296349201635,53.63984674329502
56,0.13028580033778234,0.07922665211608873,51.14942528735632
57,0.2678210532540791,0.1412005358432023,52.87356321839081
58,0.37759478354572235,0.3182327711595463,54.214559386973185
59,0.16542199283239492,0.025583647249345993,51.91570881226054
60,0.15218014257499188,0.15122742837562525,52.490421455938694
61,0.17000459424328854,-0.09921763314519755,51.724137931034484
62,0.05589672500530396,0.06780766724418404,51.34099616858238
63,0.10407098030795152,0.0010746958154416127,51.53256704980843
64,0.1940431425110017,0.21979103574161732,53.44827586206896
65,0.3208697965137681,0.2866393766010971,55.172413793103445
66,0.4069094605614795,0.457115967446258,55.172413793103445
67,0.44043147324154364,0.42399286097796696,56.70498084291188
68,0.31748009791335496,0.2247894363270135,54.406130268199234
69,0.3064028605172905,0.27531389206322676,53.44827586206896
70,0.2966059430321718,0.4990078188458811,53.44827586206896
71,0.5902420913259878,0.5994453289691462,57.8544061302682
72,0.35285925633674076,0.29307597265329877,54.78927203065134
73,0.3493860014970832,0.0834397115486854,54.02298850574713
74,0.31149161692690047,0.2289575715797832,54.78927203065134
75,0.24265776406584397,0.2293989991558407,54.406130268199234
76,0.5946185274044374,0.45674621901839324,57.279693486590034
77,0.3334652558398281,0.3326911764281437,53.83141762452107
78,0.21240488549206862,0.19269098864779538,52.10727969348659
79,0.2731448507965829,0.2878842374799348,53.25670498084292
80,0.4665328947141946,0.642221218648665,57.47126436781609
81,0.061603672969498056,0.0818531460785132,50.76628352490421
82,0.1300200709385018,0.08809118644630116,51.91570881226054
83,0.48983802010754995,0.3016309565417836,57.08812260536399
84,0.2880464783093477,0.34677173364755937,53.25670498084292
85,0.20888357966024595,0.4136651881586844,52.87356321839081
86,0.3374126321464778,0.3121809081860743,55.55555555555556
87,0.39688724229314587,0.4658581544695,55.172413793103445
88,0.40086298834972445,0.38732803498084295,55.74712643678161
89,0.05973848590302695,0.08911481172066509,50.57471264367817
90,0.48225215841241964,0.4578945850571152,55.172413793103445
91,0.1269943188285996,0.15767450934584193,50.95785440613027
