border,n,median,mean,win_rate,sortino,,,,n,win_rate,median,win_rate2,tot_win:,median2,tot_med,,,n,median,median2
0,-6.8,46.02458486,80.11643093,100,0,,,,-6.8,100,46.02458486,2.226524685,102.2265247,-44.91953828,1.105046581,,,-6.8,46.02458486,-44.91953828
0,-6.7,45.26430619,78.46382537,100,0,,,,-6.7,100,45.26430619,2.226524685,102.2265247,-44.2976934,0.966612789,,,-6.7,45.26430619,-44.2976934
0,-6.6,44.50716587,76.83165562,100,0,,,,-6.6,100,44.50716587,2.226524685,102.2265247,-43.72224567,0.7849202,,,-6.6,44.50716587,-43.72224567
0,-6.5,43.75315401,75.21964136,100,0,,,,-6.5,100,43.75315401,2.226524685,102.2265247,-43.20124796,0.551906047,,,-6.5,43.75315401,-43.20124796
0,-6.4,43.0544213,73.62750585,100,0,,,,-6.4,100,43.0544213,2.226524685,102.2265247,-42.64907294,0.405348362,,,-6.4,43.0544213,-42.64907294
0,-6.3,42.49022039,72.05497597,100,0,,,,-6.3,100,42.49022039,2.323330106,102.3233301,-42.1071076,0.383112785,,,-6.3,42.49022039,-42.1071076
0,-6.2,41.93876126,70.50178213,100,0,,,,-6.2,100,41.93876126,2.323330106,102.3233301,-41.56738018,0.371381078,,,-6.2,41.93876126,-41.56738018
0,-6.1,41.16618305,68.96765823,100,0,,,,-6.1,100,41.16618305,2.516940949,102.5169409,-41.02734006,0.138842992,,,-6.1,41.16618305,-41.02734006
0,-6,40.31795842,67.45234168,100,0,,,,-6,100,40.31795842,2.516940949,102.5169409,-40.48993426,-0.171975844,,,-6,40.31795842,-40.48993426
0,-5.9,39.47322489,65.95557327,100,0,,,,-5.9,100,39.47322489,2.516940949,102.5169409,-39.91393219,-0.440707303,,,-5.9,39.47322489,-39.91393219
0,-5.8,38.72333894,64.47709722,100,0,,,,-5.8,100,38.72333894,2.516940949,102.5169409,-39.35651038,-0.633171443,,,-5.8,38.72333894,-39.35651038
0,-5.7,37.98493404,63.01666108,100,0,,,,-5.7,100,37.98493404,2.61374637,102.6137464,-38.77969116,-0.794757119,,,-5.7,37.98493404,-38.77969116
0,-5.6,37.35418599,61.57401573,100,0,,,,-5.6,100,37.35418599,2.61374637,102.6137464,-38.21149864,-0.857312649,,,-5.6,37.35418599,-38.21149864
0,-5.5,36.75858292,60.14891533,100,0,,,,-5.5,100,36.75858292,2.710551791,102.7105518,-37.64024602,-0.881663098,,,-5.5,36.75858292,-37.64024602
0,-5.4,36.22746457,58.74111728,100,0,,,,-5.4,100,36.22746457,2.710551791,102.7105518,-36.98555107,-0.758086497,,,-5.4,36.22746457,-36.98555107
0,-5.3,35.64704798,57.35038218,100,0,,,,-5.3,100,35.64704798,2.904162633,102.9041626,-36.43189614,-0.784848162,,,-5.3,35.64704798,-36.43189614
0,-5.2,34.85284427,55.97647382,100,0,,,,-5.2,100,34.85284427,2.904162633,102.9041626,-35.81785706,-0.965012793,,,-5.2,34.85284427,-35.81785706
0,-5.1,34.18871736,54.61915911,100,0,,,,-5.1,100,34.18871736,2.904162633,102.9041626,-35.21072327,-1.022005912,,,-5.1,34.18871736,-35.21072327
0,-5,33.51467368,53.27820807,100,0,,,,-5,100,33.51467368,3.000968054,103.0009681,-34.53123513,-1.016561449,,,-5,33.51467368,-34.53123513
0,-4.9,32.90368593,51.95339377,100,0,,,,-4.9,100,32.90368593,3.000968054,103.0009681,-33.83617641,-0.932490479,,,-4.9,32.90368593,-33.83617641
0,-4.8,32.19272768,50.64449235,100,0,,,,-4.8,100,32.19272768,3.000968054,103.0009681,-33.18234679,-0.989619113,,,-4.8,32.19272768,-33.18234679
0,-4.7,31.48169436,49.35128289,100,0,,,,-4.7,100,31.48169436,3.000968054,103.0009681,-32.5672569,-1.085562536,,,-4.7,31.48169436,-32.5672569
0,-4.6,30.98472635,48.07354748,100,0,,,,-4.6,100,30.98472635,3.097773475,103.0977735,-31.92433138,-0.939605031,,,-4.6,30.98472635,-31.92433138
0,-4.5,30.42349662,46.81107112,100,0,,,,-4.5,100,30.42349662,3.097773475,103.0977735,-31.23776248,-0.814265855,,,-4.5,30.42349662,-31.23776248
0,-4.4,29.91735986,45.5636417,100,0,,,,-4.4,100,29.91735986,3.097773475,103.0977735,-30.47753187,-0.560172007,,,-4.4,29.91735986,-30.47753187
0,-4.3,29.350162,44.33104997,100,0,,,,-4.3,100,29.350162,3.097773475,103.0977735,-29.82392072,-0.473758723,,,-4.3,29.350162,-29.82392072
0,-4.2,28.74935315,43.11308953,100,0,,,,-4.2,100,28.74935315,3.097773475,103.0977735,-29.25240257,-0.50304942,,,-4.2,28.74935315,-29.25240257
0,-4.1,28.0796006,41.90955675,100,0,,,,-4.1,100,28.0796006,3.097773475,103.0977735,-28.60643712,-0.526836518,,,-4.1,28.0796006,-28.60643712
0,-4,27.384554,40.72025078,100,0,,,,-4,100,27.384554,3.097773475,103.0977735,-27.86739955,-0.482845545,,,-4,27.384554,-27.86739955
0,-3.9,26.69201507,39.54497349,100,0,,,,-3.9,100,26.69201507,3.097773475,103.0977735,-27.18053298,-0.488517913,,,-3.9,26.69201507,-27.18053298
0,-3.8,26.00197907,38.38352946,100,0,,,,-3.8,100,26.00197907,3.097773475,103.0977735,-26.3334058,-0.331426734,,,-3.8,26.00197907,-26.3334058
0,-3.7,25.26742985,37.23572593,100,0,,,,-3.7,100,25.26742985,3.097773475,103.0977735,-25.62357274,-0.356142893,,,-3.7,25.26742985,-25.62357274
0,-3.6,24.51650527,36.10137277,100,0,,,,-3.6,100,24.51650527,3.097773475,103.0977735,-24.98042203,-0.463916757,,,-3.6,24.51650527,-24.98042203
0,-3.5,23.79121691,34.98028248,100,0,,,,-3.5,100,23.79121691,3.097773475,103.0977735,-24.31251567,-0.521298758,,,-3.5,23.79121691,-24.31251567
0,-3.4,23.02361294,33.87227012,100,0,,,,-3.4,100,23.02361294,3.097773475,103.0977735,-23.6864566,-0.662843662,,,-3.4,23.02361294,-23.6864566
