strategy,S&P500
0.03940060281102986,0.047208559265257355
0.0725160663612554,0.045998900687172384
0.028007736809927852,0.056090808020299754
0.036465838359494684,0.023569852692305826
0.08027688794403742,0.042255852494594404
0.13169058368598918,0.06904320438449774
0.08044582178630288,0.08243288449130848
0.08252242411246091,0.059569774802764375
0.08649616627331991,0.07044356879129654
0.034447161735965404,0.0821338614903131
0.015673291577543713,0.059886772858281034
-0.0043858945914109215,0.056470767913719966
0.06747513890007317,0.05652128356757924
0.07377058851947171,0.08257214592258744
0.07913201031225325,0.06825773795926282
0.06311765144392201,0.06655471237517685
0.06487064281722099,0.058690834597142416
0.03384654729120218,0.054292142604289495
0.0346141799500046,0.03589465602676434
0.02802993182633018,0.0406973067000469
0.043235353982242763,0.024747623807937158
0.04366567340701799,0.054914815968161834
0.010576686644391708,0.038886819575636444
0.04644580561644385,0.017817300438209394
0.04446594111941615,0.03752626644532486
0.04893178437039003,0.03224946341541135
0.042987809082670525,0.03621743614501827
0.016194039703772756,0.026482905658674838
0.03596710149250448,-0.014777860900034967
0.015828978040681285,-0.005931289607942203
0.0434367242867888,-0.014301891186550675
0.017765727866948522,0.005018511100849388
0.039913615674748604,-0.001797851355070046
0.10124305313211046,0.01887093911969595
0.14426171221169648,0.007502014305230231
0.13891096073733444,0.0366086330670945
0.14518136832743966,0.030146045351710837
0.19713177870405696,0.042798306882142034
0.16483039691560752,0.09222071749404614
0.1919940612533526,0.08840259189388555
0.15784245765035343,0.09934061449177745
0.15165385800917197,0.07455151527611403
0.15213202680276638,0.06366200150052603
0.029690997657340512,0.06121738997145565
0.0027095710247753146,0.040454640374690376
0.020418547717307778,0.016541234730962806
0.11458840632949507,0.02748149233205366
0.10686831700700172,0.030462546049939032
0.049889452635717424,0.021885678993135205
0.028357920255288382,-0.045109367997464345
0.03446943693130766,-0.0479281293476258
0.053440154804251794,-0.056764562781900674
0.060147274514464,-0.03777995309186011
0.06541625213643187,-0.026789718509845573
0.04453798670832154,-0.019660834565279006
0.04252251604225754,-0.028983171098968308
-0.021957430043557102,-0.02666978084872551
-0.022841931079840005,-0.018598824443906592
0.09052526857459431,-0.0012779630879717896
0.11858465665688822,0.0791081843348469
0.04115346352090499,0.09229216376173621
0.09443264432895004,0.03918143822523246
0.06110107257374375,0.06660725181372906
0.03775863847385352,0.024184521132381898
0.06989698531465405,-0.011935615034993963
0.028593062010309866,0.002817661423024198
0.03396041044897413,-0.02744330746279744
0.05436513211474825,-0.017139533037446975
-0.04255517114705509,-0.010945218998706485
-0.03216194516883575,-0.055694884059931504
0.021735372939868602,-0.052452879422341
-0.07997499626493665,-0.010611567529305255
-0.10600354788043465,-0.07525068260885415
-0.12258587945724586,-0.06816265321487802
-0.098238428524277,-0.08529043478543996
-0.04199111691596158,-0.08261160149911995
-0.10138780036190909,-0.026428253389247813
-0.11443919870649921,-0.10011958632034235
-0.06618678750873008,-0.09974647223322208
-0.09000772047972505,-0.07358940593383079
-0.11924606307912422,-0.09180979080242402
-0.08501053617879117,-0.11941580899331061
-0.032374258092922825,-0.08279666017164866
0.04374220911071047,-0.05758123722029895
0.07698150582081253,0.0007650828392089526
1.4753372118484074,0.03403283009740399
1.6813266706034034,-0.03968869528383778
1.7598933126371015,0.045807531708620175
1.7938975261219383,0.03811688174621297
1.8263572692533425,0.048596077175873775
2.010496026335484,0.04310036353080382
2.0009397166947993,0.10528282625360585
2.011553132171631,0.06721274665468213
1.778024766745275,0.0678748407902463
1.492682470305331,0.03634691731183182
-0.016503491028297068,-0.005405680791539913
-0.10796802342922995,-0.01349525976539867
-0.16840795275981435,-0.07446670977075254
-0.11284352612137338,-0.09067492243463526
-0.03545303800204225,-0.12049033104136764
-0.06306606067941267,-0.08847998509644517
-0.051129005969490215,-0.1160263685622116
-0.041928972744216475,-0.0788218204298956
0.01908097491647709,-0.07362283421426563
0.042239068482787134,-0.04012682228444697
0.09239159860580193,-0.04297856178627002
0.10314450675372089,-0.016308178627166603
0.1398029992494334,-0.02438659826608547
-0.11508877012411578,-0.001741884813333816
-0.23301887075797334,0.0022608664752827856
-0.3374142519417921,-0.035168680523938844
-0.4591124886183968,-0.11556694537900736
-0.37218631718953665,-0.29444928108221724
-0.4695847423989825,-0.275337732865928
-0.32591807528504724,-0.32746556189513387
-0.2522145572672996,-0.24882011238019597
-0.3149283828500723,-0.26699807383239993
-0.4617658663319668,-0.2997801279765534
-0.06974065762722281,-0.36568902863868824
-0.032144635921277254,-0.26996840836021097
0.21381337461203098,-0.2724036491764532
0.5787676154103409,-0.1934924446130516
0.2713449138053834,-0.003502530711391838
0.6659784202910666,-0.05731657215381336
0.3096466151910209,0.07668468060898426
0.07492628624890307,-0.07246446861779254
0.1120925832526416,-0.08640006615671603
0.4048844255507933,-0.03273288917492767
-0.021807095918124464,0.050080904072925536
-0.08921427507624524,-0.0266846793544665
-0.2762647847749756,-0.05115625882318209
-0.2713007036907632,-0.1229527784632577
-0.3452018541081715,-0.1548913064542914
-0.15909017666084924,-0.20927046834776497
-0.1233443118606784,-0.1814757744847615
0.14005391983088367,-0.13896120320932326
0.33075453916105113,-0.0336925089722363
0.42321144590172777,0.021094194205672823
0.4752069671774968,0.04339225675102787
0.6463795963538321,0.008315823537723421
0.8955195720508986,0.05461923962008175
1.1893747400076884,0.14336199160936625
1.4077774623327297,0.26667795124146476
0.7020955044009256,0.29635797565827926
0.7139179443205039,0.17830395133360843
0.5089402724197225,0.21486544682450126
0.4185569459547458,0.15855888902780446
0.32938320787117226,0.1284118650647985
0.26723782530926843,0.07260203412156674
0.2088019026361021,0.060620331552622586
0.12612575908107937,0.042202895508745675
0.02488255924210203,0.006449911942190134
0.10593076200160678,0.01808671158274122
0.14966914588485647,0.1116428761928514
0.14276130242983665,0.11624573605209765
0.1111403937740103,0.09987722646673602
0.1551815907476739,0.07201826700930059
0.1814914953525264,0.08910031388364525
0.1588231486726277,0.12955170739601862
0.26804153613360104,0.11128030418414658
0.4142716666410997,0.16657392004859184
0.2512078642036246,0.213278704016737
0.1715139717771399,0.11492119546573121
0.1812601839961696,0.05015517801722136
0.1886704799016934,0.09068771400044229
0.15194134646076596,0.08111365420100225
0.04597570068128931,0.07743681856672713
0.08491403130088893,0.010520250642210627
0.12416715892130292,0.041210295878422176
0.029427392252594498,0.0791898932347419
0.0029791648372434754,0.04945332385584367
0.05619284101844291,0.03159548238864174
0.0946024513675019,0.06280504370330142
0.043376533651388494,0.08410551704208902
0.026912173289340036,0.02750322857879084
0.04056035275522407,0.03852995717397789
0.15866907945691344,0.036638752194744884
0.09360478174603792,0.11227148826041256
0.0069340062902811805,0.06647822242194379
0.0015057360577377388,0.0016235830938626794
0.003291125250164839,-0.01335849239724296
-0.008022238192019082,-0.021317742967227438
0.027084595708961157,-0.021514311260378394
0.00870256392058133,0.0056553764273723495
0.03355043683339276,0.010218993989992375
0.052621581354994396,0.015736278009633065
0.010767333460892647,0.036073778986216
0.03088889282702101,0.012219605444693027
0.11660164032989129,0.03009573493012674
0.18279949980437515,0.08309791522744714
0.18115672793782034,0.1178167675159476
0.20826977350979226,0.12367847857402103
0.13513786242037362,0.132095515549987
0.06124285908238303,0.07341425700302029
0.053017402592880014,0.008832616096473123
0.01410558070350132,0.0009539781621201726
0.02166812964046949,-0.05110626938531382
-0.012369274478205461,-0.053028036965739545
0.0016887215750551743,-0.08371910464992605
0.00879298758955005,-0.06893063136600508
-0.02853407828394805,-0.06541240550931227
-0.12343494614904371,-0.091963888053476
-0.03569657689459915,-0.15699677339538398
0.040454025018131334,-0.08699910870606464
0.05562845754885837,-0.036783401048979925
0.8318879912399775,-0.025943911860782043
0.8259954883609888,0.01543979999691003
0.8055741281476798,0.032501980457995794
0.7343580624469817,0.01877227310887175
0.6621079008578274,-0.014938108550644147
0.7959954178055335,-0.0390369074183019
0.9116392625578931,0.027997216543595105
0.8376419826648542,0.0908022337303811
0.8799066707380154,0.041960151912082244
0.7804999716135155,0.08226786526316832
0.06948853881888395,0.043597447836389414
0.07094953364990086,0.06251841684303305
0.12773434896381275,0.05285284826205072
0.13713889239907462,0.09854702970597273
0.18335135344283238,0.10782456039435173
0.1252881692638883,0.15456652854925612
0.11345293239341148,0.089759300072358
0.06749402319001274,0.08480442419709444
0.11883322022068632,0.061747581015050734
0.12633989566714332,0.07028366742710124
0.11319730384650417,0.08611831269665027
0.12385333506639062,0.06658648359415698
0.10859816909998976,0.07273179798239338
0.1277948093544079,0.06811409594818185
0.10574102029249821,0.07864481509658483
0.08142880251319018,0.05915944958550523
0.11304347925906266,0.07358707938349252
0.1600123021689892,0.06735146499183009
0.11542833175693024,0.10976220159904293
0.13090543339112815,0.08886068821000048
0.11426305066038345,0.08641975607750929
0.07794151135356242,0.07020052729775661
0.06827183400404757,0.05469747184916707
0.03177124992598723,0.04047707699680325
0.052937203499670904,0.004876443428277533
0.09513282087054975,0.019879324623784722
0.06904221230547769,0.0417417776283433
0.03235366205334955,0.04476309841022652
0.016976925069063897,0.011159432313224915
0.016600791168645657,0.009399009853160667
0.021339211652228407,0.01852868456805945
0.016306639935193212,0.01853724478934482
0.021763002831550082,0.01624717133937925
0.036639477804032206,0.025606647000249616
-0.017449976714045357,0.049545828341382325
-0.0632873957667508,-0.006702412563668103
-0.06941858190534023,-0.041682317701741356
-0.050912047017048434,-0.0437301547807194
-0.009230674513682868,-0.03484761638099121
-0.02726698851863074,0.0060093823472870955
-0.061242385507659036,-0.009995544382655819
-0.0120168591794374,-0.013838415105561053
-0.057902405058162465,0.009006467276854169
-0.15509869438120694,-0.027234174221985707
-0.16030993080783829,-0.09613274881042233
-0.18635607120930753,-0.08982087861909083
-0.1095604471390994,-0.11286475146728503
-0.10848032024884524,-0.06686457528475653
-0.17089663099548535,-0.07065711493487348
-0.13614054791778785,-0.13440837820907459
-0.2033121866609029,-0.09583336282131583
-0.2571844480573484,-0.13336353346677376
-0.1870748716714582,-0.15488609523630026
-0.030184064265512123,-0.10068329929554098
0.005399854719729369,0.026017402307776827
0.1765680089745636,0.054955996282415764
0.09410923901324231,0.1475972658803626
0.07479862570898255,0.06916307236709773
0.0574710476614837,0.08031681949679137
-0.04440074444484865,0.05772166418226843
0.20731708614136246,-0.03767373891785164
0.2636855511159444,0.09970089644252322
0.17148571455072048,0.1140075688240827
0.13673155395972358,0.05081683513070434
0.2844750387823831,0.03770560845030757
0.24065273236166562,0.01876211050585641
0.2378475233845998,-0.0006226137960271272
0.24979306269829005,0.033289104759034904
0.30705770290187595,0.04837205197654515
0.45146450541116145,0.08752263130398763
0.313372163361354,0.16377223102379235
